ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
1816,858597,-4.7888,858597,51,858597,62446,858591,
1928,858599,-4.7888,858599,50,858599,62464,858599,
2001,858621,-4.7888,858621,51,858621,62415,858621,
2024,858667,-4.94256,858667,51,858667,62360,858668,
2141,858686,-4.865679999999999,858686,51,858686,62346,858680,
2098,858691,-4.94256,858691,51,858691,62360,858690,
2089,858696,-4.94256,858696,51,858696,62360,858690,
2106,858697,-4.865679999999999,858697,52,858697,62360,858690,
2146,858699,-4.94256,858699,51,858699,62341,858699,
2112,858707,-4.865679999999999,858707,51,858707,62365,858707,
2091,858719,-4.94256,858719,51,858719,62434,858719,
2380,858725,-4.94256,858725,51,858725,62434,858719,
2360,858727,-4.94256,858727,50,858727,62411,858727,
2052,858779,-4.865679999999999,858779,51,858779,62504,858779,
2109,858797,-4.865679999999999,858797,51,858797,62517,858797,
2112,858819,-5.0194399999999995,858819,50,858819,62591,858819,
2116,858821,-4.865679999999999,858821,51,858821,62591,858819,
2036,858825,-4.865679999999999,858825,51,858825,62591,858819,
1963,858829,-4.94256,858829,51,858829,62604,858829,
2027,858849,-4.94256,858849,51,858849,62680,858849,
1817,858891,-4.94256,858891,51,858891,62722,858892,
1326,858907,-4.865679999999999,858907,50,858907,62741,858902,
1354,858909,-5.09632,858909,51,858909,62720,858909,
2052,858949,-4.865679999999999,858949,52,858949,62781,858949,
2044,858951,-4.865679999999999,858951,51,858951,62791,858951,
2108,858957,-4.94256,858957,51,858957,62791,858951,
2154,858959,-4.865679999999999,858959,51,858959,62790,858959,
2137,858971,-4.865679999999999,858971,49,858971,62821,858971,
2161,858999,-4.94256,858999,51,858999,62859,858999,
2137,859031,-4.94256,859031,51,859031,62834,859031,
2062,859037,-4.865679999999999,859037,51,859037,62834,859031,
2028,859071,-4.94256,859071,51,859071,62857,859071,
2198,859087,-4.94256,859087,51,859087,62789,859081,
2151,859097,-4.94256,859097,52,859097,62641,859091,
2246,859099,-4.865679999999999,859099,52,859099,62575,859099,
2287,859101,-4.94256,859101,52,859101,62483,859101,
2015,859147,-4.865679999999999,859147,51,859147,62050,859147,
2092,859199,-4.865679999999999,859199,51,859199,62042,859199,
2160,859201,-4.7888,859201,50,859201,62042,859199,
2042,859207,-5.1732,859207,51,859207,62001,859207,
1970,859209,-4.865679999999999,859209,51,859209,62002,859209,
1922,859211,-4.865679999999999,859211,51,859211,62002,859209,
1918,859215,-4.94256,859215,52,859215,62002,859209,
1944,859229,-5.0194399999999995,859229,51,859229,62024,859229,
2011,859235,-4.94256,859235,52,859235,62024,859229,
2104,859239,-4.94256,859239,51,859239,62058,859239,
1901,859257,-4.865679999999999,859257,50,859257,62070,859257,
2045,859275,-4.94256,859275,52,859275,62114,859269,
2064,859279,-4.94256,859279,51,859279,62166,859279,
2059,859291,-4.94256,859291,51,859291,62205,859292,
1806,859329,-4.94256,859329,51,859329,62359,859329,
1841,859331,-5.09632,859331,51,859331,62359,859329,
2027,859335,-4.94256,859335,51,859335,62293,859336,
2147,859337,-4.94256,859337,51,859337,62293,859336,
2251,859339,-4.865679999999999,859339,51,859339,62321,859339,
1969,859351,-4.865679999999999,859351,51,859351,62340,859352,
2020,859359,-4.865679999999999,859359,51,859359,62338,859359,
2069,859411,-4.94256,859411,51,859411,62280,859411,
2107,859417,-4.94256,859417,51,859417,62280,859411,
2145,859419,-4.94256,859419,51,859419,62266,859419,
2102,859439,-4.865679999999999,859439,51,859439,62282,859439,
2110,859459,-4.94256,859459,52,859459,62306,859459,
2142,859461,-4.94256,859461,51,859461,62302,859461,
2108,859467,-4.94256,859467,52,859467,62302,859461,
2065,859469,-4.94256,859469,52,859469,62301,859469,
2160,859487,-4.94256,859487,52,859487,62317,859481,
2133,859489,-4.94256,859489,51,859489,62286,859489,
2100,859527,-4.865679999999999,859527,51,859527,62407,859527,
2032,859541,-4.94256,859541,52,859541,62455,859540,
2105,859581,-4.94256,859581,51,859581,62458,859580,
2029,859587,-4.94256,859587,51,859587,62534,859588,
2005,859589,-4.94256,859589,50,859589,62483,859590,
2100,859596,-5.0194399999999995,859596,50,859596,62483,859590,
2244,859606,-4.7888,859606,51,859606,62513,859600,
2200,859607,-4.865679999999999,859607,52,859607,62511,859608,
2605,859631,-4.94256,859631,51,859631,62557,859630,
1937,859651,-4.94256,859651,51,859651,62604,859650,
1604,859669,-4.865679999999999,859669,50,859669,62597,859669,
1982,859715,-4.865679999999999,859715,52,859715,62624,859709,
2065,859717,-4.865679999999999,859717,52,859717,62622,859717,
2189,859719,-4.94256,859719,52,859719,62628,859719,
2034,859737,-4.94256,859737,51,859737,62646,859737,
1988,859757,-4.865679999999999,859757,50,859757,62692,859757,
2028,859831,-4.94256,859831,50,859831,62733,859831,
2325,859839,-4.94256,859839,51,859839,62687,859839,
2398,859841,-4.94256,859841,52,859841,62643,859841,
2148,859851,-4.94256,859851,51,859851,62509,859851,
2153,859857,-4.94256,859857,51,859857,62509,859851,
2178,859859,-4.94256,859859,51,859859,62420,859859,
2008,859907,-5.0194399999999995,859907,51,859907,61995,859901,
2007,859967,-4.865679999999999,859967,52,859967,61932,859961,
2002,859969,-4.94256,859969,52,859969,61918,859969,
2024,859981,-4.865679999999999,859981,51,859981,61963,859981,
2180,860019,-4.94256,860019,52,860019,62009,860019,
2026,860037,-4.94256,860037,52,860037,62049,860031,
2031,860051,-4.865679999999999,860051,52,860051,62121,860050,
2100,860055,-4.865679999999999,860055,51,860055,62121,860050,
2156,860057,-4.865679999999999,860057,50,860057,62130,860058,
2218,860059,-4.7888,860059,50,860059,62129,860060,
2138,860101,-4.94256,860101,51,860101,62196,860099,
2008,860105,-4.865679999999999,860105,51,860105,62196,860099,
1922,860107,-4.94256,860107,51,860107,62270,860107,
1867,860109,-4.865679999999999,860109,51,860109,62269,860109,
1859,860111,-4.865679999999999,860111,51,860111,62269,860109,
2233,860121,-4.94256,860121,51,860121,62255,860119,
1993,860131,-4.94256,860131,51,860131,62209,860129,
2086,860157,-4.94256,860157,49,860157,62169,860157,
1977,860175,-4.94256,860175,51,860175,62168,860169,
2031,860179,-4.865679999999999,860179,51,860179,62170,860179,
2034,860241,-4.865679999999999,860241,51,860241,62238,860242,
1913,860249,-4.94256,860249,52,860249,62280,860249,
