ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
2038,206571,11.048480000000001,206571,61,206571,63816,206571,
1956,206579,12.662960000000002,206579,58,206579,63781,206579,
2050,206589,13.585520000000002,206589,57,206589,63830,206589,
2075,206591,9.28024,206591,57,206591,63842,206591,
2024,206601,11.43288,206601,56,206601,63898,206601,
2094,206611,12.739840000000001,206611,56,206611,63982,206611,
2027,206617,13.969920000000002,206617,56,206617,63982,206611,
2002,206619,10.2028,206619,54,206619,64027,206619,
2120,206631,12.8936,206631,56,206631,64129,206631,
2024,206637,11.740400000000001,206637,56,206637,64129,206631,
2011,206639,14.20056,206639,54,206639,64170,206639,
2012,206641,11.89416,206641,56,206641,64197,206641,
2121,206651,11.20224,206651,55,206651,64232,206651,
2075,206657,12.43232,206657,53,206657,64232,206651,
2064,206659,13.662400000000002,206659,54,206659,64280,206659,
2077,206671,14.50808,206671,53,206671,64357,206671,
2034,206679,11.20224,206679,54,206679,64340,206679,
2040,206681,14.277440000000002,206681,54,206681,64408,206681,
2087,206687,11.81728,206687,59,206687,64408,206681,
2099,206691,14.73872,206691,54,206691,64442,206690,
2083,206695,15.2,206695,56,206695,64423,206696,
2070,206697,12.20168,206697,57,206697,64423,206696,
2069,206705,13.43176,206705,56,206705,64462,206699,
2089,206709,15.276880000000002,206709,57,206709,64482,206709,
2095,206711,12.662960000000002,206711,56,206711,64482,206709,
2016,206721,12.047920000000001,206721,56,206721,64492,206719,
2062,206729,13.354880000000001,206729,59,206729,64493,206729,
2051,206739,10.2028,206739,58,206739,64510,206739,
2081,206747,13.43176,206747,56,206747,64544,206747,
2100,206749,13.81616,206749,56,206749,64535,206749,
2106,206751,14.354320000000001,206751,58,206751,64535,206749,
2084,206755,15.584400000000002,206755,56,206755,64535,206749,
2072,206775,14.20056,206775,57,206775,64498,206769,
2067,206777,15.276880000000002,206777,53,206777,64503,206777,
2074,206779,14.12368,206779,57,206779,64476,206779,
2141,206791,15.2,206791,54,206791,64467,206789,
2083,206799,12.047920000000001,206799,53,206799,64475,206799,
2141,206805,14.661840000000002,206805,53,206805,64475,206799,
2192,206809,15.12312,206809,53,206809,64500,206809,
2151,206817,14.046800000000001,206817,53,206817,64491,206817,
2129,206819,16.66072,206819,52,206819,64502,206819,
2097,206835,14.277440000000002,206835,57,206835,64495,206829,
2083,206837,14.8156,206837,53,206837,64484,206837,
2070,206839,16.7376,206839,53,206839,64493,206839,
2045,206849,14.73872,206849,54,206849,64507,206849,
2029,206895,15.81504,206895,52,206895,64499,206892,
2012,206897,16.583840000000002,206897,52,206897,64597,206897,
1996,206899,15.353760000000001,206899,54,206899,64597,206897,
1997,206901,14.20056,206901,52,206901,64597,206902,
2056,206907,17.198880000000003,206907,52,206907,64597,206902,
2073,206909,15.968800000000002,206909,57,206909,64604,206909,
2006,206937,16.81448,206937,53,206937,64631,206932,
2139,206947,15.81504,206947,53,206947,64662,206947,
2226,206949,19.12088,206949,52,206949,64662,206947,
3006,206969,17.35264,206969,53,206969,64600,206969,
1992,206977,19.428400000000003,206977,51,206977,64596,206978,
1595,206979,15.046240000000001,206979,52,206979,64596,206978,
1212,206991,18.198320000000002,206991,52,206991,64617,206992,
2086,207011,16.12256,207011,52,207011,64670,207012,
2048,207021,17.890800000000002,207021,51,207021,64684,207022,
2080,207029,17.66016,207029,52,207029,64624,207030,
2085,207031,19.50528,207031,50,207031,64687,207032,
2067,207041,20.043440000000004,207041,51,207041,64650,207042,
2075,207061,18.2752,207061,52,207061,64669,207062,
2154,207071,17.42952,207071,51,207071,64683,207072,
2129,207087,20.658480000000004,207087,52,207087,64721,207088,
2126,207089,18.505840000000003,207089,54,207089,64706,207090,
2108,207099,16.50696,207099,53,207099,64703,207100,
2109,207101,21.273519999999998,207101,53,207101,64703,207100,
2141,207111,18.96712,207111,54,207111,64661,207110,
2117,207116,20.966,207116,52,207116,64661,207110,
2117,207117,18.04456,207117,54,207117,64735,207118,
2121,207119,20.658480000000004,207119,53,207119,64665,207120,
2129,207121,19.274639999999998,207121,57,207121,64665,207120,
2224,207129,21.7348,207129,52,207129,64676,207130,
2222,207131,16.12256,207131,54,207131,64676,207130,
2160,207136,21.042880000000004,207136,52,207136,64676,207130,
2158,207141,20.197200000000002,207141,52,207141,64678,207140,
2233,207146,19.582160000000002,207146,52,207146,64678,207140,
2226,207156,18.813360000000003,207156,53,207156,64696,207150,
2220,207157,22.042320000000004,207157,52,207157,64663,207158,
2253,207167,20.274079999999998,207167,52,207167,64642,207168,
2170,207179,22.657360000000004,207179,50,207179,64607,207180,
2168,207181,20.50472,207181,52,207181,64607,207180,
2167,207186,22.96488,207186,52,207186,64607,207180,
2150,207191,18.73648,207191,51,207191,64498,207190,
2107,207196,19.96656,207196,53,207196,64498,207190,
2092,207197,20.812240000000003,207197,51,207197,64498,207190,
1897,207219,19.50528,207219,51,207219,63812,207219,
1880,207221,22.811120000000003,207221,50,207221,63812,207219,
1886,207225,22.96488,207225,51,207225,63812,207219,
1889,207227,21.427280000000003,207227,52,207227,63746,207227,
1818,207235,23.50304,207235,51,207235,63731,207229,
1803,207237,18.198320000000002,207237,51,207237,63667,207237,
1802,207239,22.96488,207239,50,207239,63625,207239,
1876,207245,21.273519999999998,207245,50,207245,63625,207239,
1902,207247,21.88856,207247,50,207247,63589,207247,
1914,207249,22.657360000000004,207249,51,207249,63552,207249,
1854,207257,23.195520000000002,207257,49,207257,63591,207257,
1852,207261,21.58104,207261,50,207261,63565,207259,
1958,207269,19.428400000000003,207269,51,207269,63586,207269,
1958,207277,22.042320000000004,207277,50,207277,63580,207277,
2040,207291,21.273519999999998,207291,52,207291,63669,207289,
2061,207305,22.96488,207305,50,207305,63712,207299,
2072,207311,21.273519999999998,207311,50,207311,63744,207309,
2012,207319,22.96488,207319,50,207319,63804,207319,
2022,207321,24.041200000000003,207321,50,207321,63804,207319,
2089,207331,24.73312,207331,49,207331,63893,207332,
2077,207335,23.11864,207335,49,207335,63893,207332,
2076,207337,23.810560000000002,207337,50,207337,63893,207332,
2066,207351,22.887999999999998,207351,50,207351,63975,207352,
2051,207355,23.195520000000002,207355,52,207355,63975,207352,
2043,207357,21.811680000000003,207357,49,207357,63975,207352,
2092,207365,23.96432,207365,52,207365,64008,207362,
2116,207369,24.57936,207369,50,207369,64136,207367,
2116,207371,23.96432,207371,50,207371,64146,207372,
2097,207387,24.34872,207387,51,207387,64163,207386,
2105,207391,26.040080000000003,207391,50,207391,64243,207392,
2020,207401,25.655680000000004,207401,50,207401,64298,207402,
2069,207407,21.042880000000004,207407,51,207407,64298,207402,
2083,207409,25.11752,207409,49,207409,64332,207409,
2085,207411,24.425600000000003,207411,51,207411,64339,207412,
2096,207427,25.655680000000004,207427,49,207427,64390,207427,
2097,207431,24.34872,207431,50,207431,64326,207432,
2059,207441,24.96376,207441,50,207441,64393,207441,
2108,207447,24.656240000000004,207447,50,207447,64393,207441,
2091,207451,26.424480000000003,207451,51,207451,64423,207451,
2017,207457,25.11752,207457,50,207457,64423,207451,
2017,207459,26.11696,207459,51,207459,64418,207459,
2030,207461,23.96432,207461,52,207461,64432,207461,
2093,207467,24.041200000000003,207467,50,207467,64432,207461,
2106,207469,27.1164,207469,50,207469,64441,207469,
2086,207489,26.11696,207489,50,207489,64449,207489,
2099,207491,26.19384,207491,51,207491,64411,207491,
2122,207517,25.34816,207517,48,207517,64421,207515,
2124,207521,26.11696,207521,49,207521,64371,207522,
2158,207525,25.5788,207525,50,207525,64371,207522,
2192,207531,24.11808,207531,49,207531,64377,207532,
2134,207537,26.11696,207537,49,207537,64358,207537,
2123,207539,26.50136,207539,49,207539,64319,207540,
2067,207556,26.11696,207556,50,207556,64355,207550,
2033,207561,28.34648,207561,49,207561,64365,207560,
2057,207566,27.1164,207566,49,207566,64365,207560,
2062,207567,26.424480000000003,207567,52,207567,64393,207568,
2057,207569,26.3476,207569,50,207569,64402,207570,
1940,207577,23.34928,207577,51,207577,64405,207578,
1925,207581,26.270720000000004,207581,50,207581,64428,207580,
1985,207586,26.424480000000003,207586,50,207586,64428,207580,
2014,207587,26.57824,207587,50,207587,64427,207588,
2036,207589,26.96264,207589,50,207589,64454,207590,
1981,207619,27.039520000000003,207619,50,207619,64406,207620,
2045,207641,25.425040000000003,207641,51,207641,64450,207640,
2078,207646,27.808320000000002,207646,50,207646,64450,207640,
2084,207647,29.57656,207647,49,207647,64486,207648,
2083,207651,27.19328,207651,50,207651,64474,207650,
2051,207659,28.500240000000005,207659,50,207659,64500,207660,
2434,207667,29.8072,207667,47,207667,64475,207668,
2565,207669,26.424480000000003,207669,48,207669,64518,207670,
2899,207676,28.11584,207676,48,207676,64518,207670,
3014,207681,27.654560000000004,207681,49,207681,64516,207680,
2870,207686,30.72976,207686,49,207686,64516,207680,
2695,207687,26.732,207687,49,207687,64512,207688,
2062,207691,28.73088,207691,50,207691,64539,207690,
845,207701,26.50136,207701,48,207701,64570,207700,
1222,207706,28.807760000000002,207706,50,207706,64570,207700,
1406,207707,28.96152,207707,49,207707,64570,207700,
1590,207709,28.807760000000002,207709,50,207709,64561,207709,
2105,207729,28.19272,207729,50,207729,64519,207729,
2020,207739,28.96152,207739,49,207739,64516,207739,
2120,207747,27.73144,207747,50,207747,64549,207747,
2138,207751,28.038960000000003,207751,50,207751,64549,207749,
2051,207759,28.269600000000004,207759,51,207759,64570,207759,
2084,207781,32.19048,207781,50,207781,64583,207779,
2128,207785,32.113600000000005,207785,50,207785,64583,207779,
2100,207799,32.34424,207799,50,207799,64597,207799,
2148,207811,28.500240000000005,207811,51,207811,64584,207812,
2134,207815,29.884080000000004,207815,51,207815,64584,207812,
2125,207821,31.19104,207821,51,207821,64582,207822,
2156,207825,29.038400000000003,207825,52,207825,64582,207822,
2170,207827,32.72864,207827,52,207827,64582,207822,
2173,207831,32.80552,207831,52,207831,64539,207832,
2142,207835,30.576,207835,53,207835,64539,207832,
2131,207837,31.267920000000004,207837,52,207837,64636,207837,
2208,207855,30.9604,207855,53,207855,64581,207856,
2244,207867,31.498560000000005,207867,52,207867,64607,207862,
2266,207871,32.19048,207871,51,207871,64632,207872,
2218,207875,29.11528,207875,53,207875,64632,207872,
2194,207877,34.0356,207877,51,207877,64634,207877,
2232,207891,34.57376,207891,50,207891,64544,207891,
2174,207897,32.42112,207897,52,207897,64544,207891,
2133,207901,32.498000000000005,207901,50,207901,64466,207901,
2133,207909,34.8044,207909,51,207909,64377,207909,
2130,207911,32.03672,207911,51,207911,64256,207911,
1969,207921,30.72976,207921,50,207921,63949,207921,
1971,207931,32.498000000000005,207931,50,207931,63783,207931,
1899,207937,33.95872,207937,51,207937,63783,207931,
1873,207949,33.6512,207949,50,207949,63619,207949,
1866,207951,32.34424,207951,52,207951,63576,207951,
1840,207957,30.9604,207957,51,207957,63576,207951,
1852,207961,33.497440000000005,207961,52,207961,63529,207961,
1934,207971,30.268480000000004,207971,51,207971,63483,207971,
1920,207977,34.95816,207977,50,207977,63483,207971,
1941,207981,34.496880000000004,207981,51,207981,63489,207981,
1989,207999,34.26624,207999,51,207999,63502,207999,
2018,208001,35.111920000000005,208001,51,208001,63521,208001,
2076,208009,35.80384,208009,51,208009,63526,208009,
2066,208011,34.42,208011,50,208011,63556,208011,
1997,208021,31.114160000000005,208021,50,208021,63615,208021,
2065,208037,36.80328,208037,51,208037,63671,208031,
2085,208049,33.2668,208049,49,208049,63784,208049,
2054,208059,34.496880000000004,208059,51,208059,63861,208059,
2068,208061,35.1888,208061,50,208061,63889,208061,
2109,208069,37.495200000000004,208069,51,208069,63929,208069,
2051,208081,33.72808,208081,51,208081,64016,208081,
2117,208089,35.111920000000005,208089,52,208089,64038,208089,
2111,208091,35.1888,208091,51,208091,64096,208091,
2048,208101,38.110240000000005,208101,51,208101,64163,208101,
2093,208111,34.34312,208111,53,208111,64218,208110,
2044,208115,38.340880000000006,208115,51,208115,64218,208110,
2029,208117,33.03616,208117,51,208117,64205,208118,
2027,208119,38.494640000000004,208119,51,208119,64225,208120,
2077,208137,38.110240000000005,208137,52,208137,64283,208138,
2075,208139,36.41888,208139,52,208139,64288,208140,
2030,208159,37.8796,208159,51,208159,64292,208159,
2037,208161,36.80328,208161,52,208161,64292,208159,
2121,208171,37.18768,208171,52,208171,64350,208169,
2085,208175,35.41944,208175,53,208175,64350,208169,
2042,208181,35.111920000000005,208181,51,208181,64362,208179,
2065,208185,35.496320000000004,208185,53,208185,64362,208179,
2085,208197,39.57096,208197,53,208197,64317,208197,
2102,208201,39.26344,208201,51,208201,64353,208199,
2128,208205,38.340880000000006,208205,52,208205,64353,208199,
2136,208207,36.18824,208207,52,208207,64322,208207,
2086,208217,34.65064,208217,52,208217,64311,208217,
2102,208221,38.110240000000005,208221,51,208221,64283,208219,
2142,208249,34.65064,208249,52,208249,64269,208249,
2059,208261,39.64784,208261,51,208261,64268,208259,
2077,208271,37.57208,208271,52,208271,64275,208269,
2017,208275,41.03168,208275,50,208275,64275,208269,
1992,208277,37.64896,208277,50,208277,64265,208277,
1974,208279,41.18544,208279,50,208279,64273,208279,
2014,208289,38.41776,208289,49,208289,64325,208287,
2008,208291,38.6484,208291,50,208291,64284,208292,
1982,208299,36.95704,208299,52,208299,64347,208299,
2043,208305,38.87904,208305,51,208305,64312,208306,
2076,208311,41.64672,208311,51,208311,64267,208312,
2057,208315,40.41664,208315,52,208315,64267,208312,
2040,208317,39.26344,208317,51,208317,64267,208312,
2037,208319,41.18544,208319,51,208319,64381,208319,
2074,208331,37.8796,208331,53,208331,64360,208332,
2039,208337,39.57096,208337,52,208337,64410,208337,
2048,208339,40.493520000000004,208339,52,208339,64410,208337,
2059,208341,40.03224,208341,52,208341,64418,208342,
2032,208357,39.4172,208357,53,208357,64383,208351,
2058,208361,42.56928,208361,51,208361,64404,208361,
2242,208367,40.80104,208367,53,208367,64404,208361,
2433,208371,40.80104,208371,52,208371,64427,208371,
2760,208377,37.95648,208377,53,208377,64427,208371,
2891,208381,39.87848,208381,52,208381,64456,208381,
2712,208389,39.64784,208389,53,208389,64462,208389,
2509,208391,39.340320000000006,208391,52,208391,64470,208391,
1089,208401,41.108560000000004,208401,51,208401,64494,208401,
1498,208411,43.79936,208411,52,208411,64501,208411,
1812,208417,41.87736,208417,52,208417,64501,208411,
2086,208427,39.18656,208427,52,208427,64516,208421,
2074,208441,40.493520000000004,208441,52,208441,64509,208441,
2115,208447,43.87624,208447,51,208447,64509,208441,
2126,208449,42.56928,208449,52,208449,64542,208449,
2155,208471,41.41608,208471,52,208471,64525,208471,
2130,208487,41.80048,208487,52,208487,64499,208481,
2141,208489,43.87624,208489,53,208489,64492,208489,
2138,208491,41.954240000000006,208491,52,208491,64493,208491,
2083,208497,43.49184,208497,53,208497,64493,208491,
2077,208499,43.03056,208499,53,208499,64516,208499,
2102,208515,44.106880000000004,208515,53,208515,64575,208515,
2085,208517,43.18432,208517,54,208517,64575,208515,
2174,208531,43.18432,208531,53,208531,64587,208530,
2087,208536,42.953680000000006,208536,54,208536,64587,208530,
2072,208539,43.107440000000004,208539,56,208539,64608,208540,
2208,208547,45.721360000000004,208547,56,208547,64612,208548,
2220,208549,44.337520000000005,208549,57,208549,64578,208550,
2160,208606,43.338080000000005,208606,52,208606,64485,208600,
2165,208609,43.41496,208609,52,208609,64336,208610,
1998,208627,42.26176,208627,51,208627,63850,208628,
1988,208629,47.79712,208629,51,208629,63776,208630,
1965,208631,44.49128,208631,52,208631,63776,208630,
1917,208636,44.337520000000005,208636,54,208636,63776,208630,
1892,208646,44.03,208646,54,208646,63650,208640,
1906,208651,47.4896,208651,52,208651,63549,208650,
1869,208656,44.721920000000004,208656,52,208656,63549,208650,
1859,208657,45.79824,208657,54,208657,63549,208650,
1848,208659,43.41496,208659,52,208659,63453,208659,
1897,208671,46.567040000000006,208671,53,208671,63397,208669,
1884,208675,47.79712,208675,53,208675,63397,208669,
1886,208677,42.723040000000005,208677,53,208677,63378,208677,
1897,208679,48.950320000000005,208679,53,208679,63364,208679,
1986,208701,46.25952,208701,53,208701,63404,208699,
2057,208709,44.64504,208709,53,208709,63470,208709,
2006,208719,48.02776,208719,53,208719,63528,208719,
2020,208721,45.49072,208721,54,208721,63528,208719,
2064,208725,49.4116,208725,53,208725,63528,208719,
2079,208727,44.87568,208727,52,208727,63522,208727,
2070,208731,44.03,208731,56,208731,63559,208729,
2058,208741,46.720800000000004,208741,53,208741,63629,208739,
2091,208745,44.337520000000005,208745,53,208745,63629,208739,
2101,208747,49.719120000000004,208747,53,208747,63655,208747,
2045,208755,47.566480000000006,208755,53,208755,63713,208752,
2112,208769,49.87288,208769,53,208769,63856,208767,
2063,208779,50.64168,208779,53,208779,63918,208779,
2092,208787,47.874,208787,53,208787,63854,208786,
2097,208789,48.79656,208789,53,208789,63953,208790,
